"";"sofifa_id";"short_name";"age";"height_cm";"weight_kg";"overall";"value_eur";"wage_eur";"pace";"shooting";"passing";"dribbling";"defending";"physic";"attacking_crossing";"attacking_finishing";"attacking_heading_accuracy";"attacking_short_passing";"attacking_volleys";"skill_dribbling";"skill_curve";"skill_fk_accuracy";"skill_long_passing";"skill_ball_control";"movement_acceleration";"movement_sprint_speed";"movement_agility";"movement_reactions";"movement_balance";"power_shot_power";"power_jumping";"power_stamina";"power_strength";"power_long_shots";"mentality_aggression";"mentality_interceptions";"mentality_positioning";"mentality_vision";"mentality_penalties";"mentality_composure";"defending_standing_tackle";"defending_sliding_tackle";"right_foot";"Role"
"1";"#158023";"L. Messi";33;170;72;93;67500000;560000;85;92;91;95;38;65;85;95;70;91;88;96;93;94;91;96;91;80;91;94;95;86;68;72;69;94;44;40;93;95;75;96;35;24;0;"Milieu_central"
"2";"#20801";"Cristiano Ronaldo";35;187;83;92;46000000;220000;89;93;81;89;35;77;84;95;90;82;86;88;81;76;77;92;87;91;87;95;71;94;95;84;78;93;63;29;95;82;84;95;32;24;1;"Attaquant"
"3";"#188545";"R. Lewandowski";31;184;80;91;80000000;240000;78;91;78;85;43;82;71;94;85;84;89;85;79;85;70;88;77;78;77;93;82;89;84;76;86;85;81;49;94;79;88;88;42;19;1;"Attaquant"
"4";"#190871";"Neymar Jr";28;175;68;91;90000000;270000;91;85;86;94;36;59;85;87;62;87;87;95;88;89;81;95;94;89;96;91;83;80;62;81;50;84;51;36;87;90;92;93;30;29;1;"Ailier_gauche"
"5";"#192985";"K. De Bruyne";29;181;70;91;87000000;370000;76;86;93;88;64;78;94;82;55;94;82;88;85;83;93;92;77;76;78;91;76;91;63;89;74;91;76;66;88;94;84;91;65;53;1;"Milieu__droit"
"6";"#231747";"K. Mbappé";21;178;73;90;105500000;160000;96;86;78;91;39;76;78;91;73;83;83;92;79;63;70;90;96;96;92;92;82;86;77;86;76;79;62;38;91;80;70;84;34;32;1;"Attaquant"
"7";"#203376";"V. van Dijk";28;193;92;90;75500000;210000;76;60;71;71;91;86;53;52;87;79;45;70;60;70;86;77;72;79;61;89;53;81;90;75;92;64;83;90;47;65;62;90;93;86;1;"arriere_central"
"8";"#208722";"S. Mané";28;175;69;90;78000000;250000;94;85;80;90;44;76;76;90;84;85;75;91;76;64;71;89;95;93;93;93;86;84;86;88;70;78;75;35;92;85;71;84;42;38;1;"Ailier_gauche"
"9";"#209331";"M. Salah";28;175;71;90;78000000;250000;93;86;81;90;45;75;79;91;59;84;79;90;83;69;75;89;94;92;91;92;91;80;69;85;75;84;63;55;91;84;83;90;43;41;0;"Ailier_droit"
"10";"#155862";"Sergio Ramos";34;184;82;89;24500000;300000;71;70;76;73;88;85;66;65;92;82;69;65;74;76;83;83;72;70;78;92;66;79;93;81;85;64;90;88;73;71;92;88;88;90;1;"arriere_central"
"11";"#165153";"K. Benzema";32;185;81;89;53000000;350000;74;85;81;86;40;76;75;88;91;86;86;87;81;73;73;90;77;72;79;91;69;84;79;78;80;79;63;39;90;87;84;90;24;18;1;"Attaquant"
"12";"#200145";"Casemiro";28;185;84;89;59500000;310000;65;73;76;72;86;91;58;64;80;84;63;69;63;74;84;79;60;69;61;87;66;88;87;90;91;81;91;87;72;80;66;84;88;87;1;"Milieu_central"
"13";"#202652";"R. Sterling";25;170;69;88;72500000;270000;93;81;79;90;45;67;78;85;46;84;67;90;77;63;69;88;96;90;94;90;94;78;57;79;65;79;59;30;92;82;69;80;53;47;1;"Ailier_gauche"
"14";"#212622";"J. Kimmich";25;176;73;88;65000000;145000;71;72;86;84;81;79;91;66;72;87;67;83;85;61;86;85;77;66;84;88;84;78;79;95;67;84;89;82;80;84;44;85;84;79;1;"Milieu__droit"
"15";"#202126";"H. Kane";26;188;89;88;71000000;220000;68;91;80;80;47;83;75;94;85;81;85;80;80;68;83;84;66;69;69;90;73;91;79;84;84;86;81;35;93;83;90;91;36;38;1;"Attaquant"
"16";"#211110";"P. Dybala";26;177;75;88;71000000;190000;85;85;84;92;43;63;82;84;64;87;88;91;88;88;75;94;89;82;92;84;90;82;75;78;60;87;48;42;85;87;86;84;48;40;0;"Attaquant"
"17";"#182521";"T. Kroos";30;183;76;88;55000000;310000;54;81;91;81;71;69;88;76;58;93;82;80;86;84;93;89;57;52;63;89;71;89;32;75;73;86;60;79;76;90;73;88;73;60;1;"Milieu__gauche"
"18";"#183277";"E. Hazard";29;175;74;88;58000000;350000;88;82;83;92;35;66;77;82;61;85;83;93;83;79;81;91;91;86;92;86;93;82;56;82;63;78;54;41;85;86;87;90;27;22;1;"Ailier_gauche"
"19";"#201024";"K. Koulibaly";29;187;89;88;50000000;140000;75;28;55;68;89;86;30;22;84;74;14;69;28;28;63;74;73;77;52;85;41;55;82;70;94;15;87;87;35;52;33;82;89;87;1;"arriere_central"
"20";"#215914";"N. Kanté";29;168;70;88;51000000;190000;77;66;76;81;86;82;68;65;54;85;56;79;49;49;79;80;79;76;82;91;92;71;77;96;72;65;90;91;72;79;54;85;90;85;1;"Milieu__droit"
"21";"#233049";"J. Sancho";20;180;76;87;69500000;82000;83;74;81;91;37;64;83;81;38;88;83;92;81;48;68;91;86;81;91;87;90;70;51;77;67;63;44;39;83;87;60;84;41;32;1;"Attaquant"
"22";"#231281";"T. Alexander-Arnold";21;180;69;87;60000000;110000;80;66;87;80;80;71;93;56;69;85;62;77;88;85;89;87;77;83;74;83;74;80;66;88;62;74;74;82;76;84;55;81;83;79;1;"arriere_droit"
"23";"#212198";"Bruno Fernandes";25;179;69;87;63000000;195000;77;83;88;85;68;75;87;77;58;88;86;85;86;87;87;88;78;76;79;86;79;89;72;94;67;89;70;74;83;90;91;86;67;55;1;"Milieu_central"
"24";"#212218";"A. Laporte";26;189;85;87;56000000;200000;63;50;72;68;88;81;58;45;86;82;40;63;61;69;80;78;60;65;59;87;60;68;76;72;85;47;81;87;54;65;44;85;89;88;0;"arriere_central"
"25";"#209499";"Fabinho";26;188;78;87;54500000;155000;67;69;79;77;85;83;75;63;75;85;47;76;71;53;83;82;66;68;66;84;65;81;75;88;81;70;86;87;70;79;90;84;87;85;1;"Milieu_central"
"26";"#216267";"A. Robertson";26;178;64;87;53000000;155000;82;62;80;80;81;76;90;57;67;82;32;80;82;38;76;82;79;85;78;84;74;78;62;95;65;65;85;82;77;79;55;83;84;81;0;"arriere_gauche"
"27";"#218667";"Bernardo Silva";25;173;64;87;60000000;230000;81;77;83;92;51;67;85;79;51;86;70;92;84;67;76;92;85;78;94;85;92;76;51;93;54;76;69;49;85;85;68;87;59;40;0;"Milieu__gauche"
"28";"#138956";"G. Chiellini";35;187;85;87;15500000;94000;66;46;58;60;90;79;54;33;83;65;45;59;60;31;65;61;60;70;57;82;57;78;87;54;87;49;90;88;28;50;50;84;90;88;0;"arriere_central"
"29";"#177003";"L. Modrić";34;172;66;87;24500000;260000;73;76;89;88;71;66;86;72;55;91;76;85;85;78;89;90;76;70;91;88;92;79;68;84;58;82;62;79;78;90;82;92;75;71;1;"Milieu__droit"
"30";"#183898";"A. Di María";32;180;69;87;39000000;160000;83;81;85;88;48;68;88;79;51;83;78;88;89;88;80;87;82;83;94;84;76;83;72;78;60;86;73;42;84;88;73;86;55;52;0;"Ailier_droit"
"31";"#188567";"P. Aubameyang";31;187;80;87;45000000;170000;93;86;75;80;38;69;76;91;75;77;84;80;81;76;64;82;91;94;77;88;68;82;75;80;74;78;43;48;93;77;78;88;29;36;1;"Ailier_gauche"
"32";"#192387";"C. Immobile";30;185;85;87;48500000;125000;84;88;67;83;39;77;55;93;81;80;85;83;70;51;53;84;82;85;75;90;77;86;77;78;77;80;77;40;93;71;88;86;33;32;1;"Attaquant"
"33";"#194765";"A. Griezmann";29;176;73;87;50500000;290000;79;85;84;88;57;72;83;88;83;84;87;87;86;85;82;89;80;79;91;92;83;81;90;86;63;82;73;49;89;85;86;89;54;49;0;"Attaquant"
"34";"#200104";"H. Son";27;183;78;87;52500000;165000;88;86;80;87;43;69;81;86;68;83;81;88;85;70;70;87;86;90;86;89;78;88;56;87;64;90;62;39;88;83;73;88;34;33;1;"Milieu__gauche"
"35";"#201942";"Roberto Firmino";28;181;76;87;52000000;190000;77;80;81;90;61;78;73;80;75;87;85;90;81;65;76;91;78;77;85;90;86;82;81;88;74;77;75;58;86;86;72;88;64;42;1;"Attaquant"
"36";"#201535";"R. Varane";27;191;81;86;46500000;220000;82;49;64;64;87;82;42;46;85;78;42;55;46;52;77;79;79;85;62;86;39;52;81;75;86;53;80;87;52;59;43;83;87;86;1;"arriere_central"
"37";"#195864";"P. Pogba";27;191;84;86;50000000;190000;73;81;86;85;66;85;80;75;75;86;84;87;85;82;91;90;66;79;73;81;66;90;82;83;89;82;78;64;81;88;83;87;67;65;1;"Milieu__droit"
"38";"#199556";"M. Verratti";27;165;60;86;50000000;135000;64;60;85;90;79;67;75;60;55;90;64;90;78;64;89;90;68;61;91;87;94;56;65;76;53;58;89;85;71;88;64;94;82;83;1;"Milieu__gauche"
"39";"#143076";"A. Gómez";32;167;68;86;34500000;100000;90;79;84;88;39;55;83;80;38;86;72;87;82;79;77;86;94;86;93;86;94;76;70;73;44;82;56;40;82;87;72;85;30;34;1;"Ailier_gauche"
"40";"#152729";"Piqué";33;194;85;86;21000000;220000;57;61;71;67;86;80;57;65;84;81;57;63;58;43;81;80;48;64;57;88;35;62;74;69;87;51;79;87;64;72;69;87;86;84;1;"arriere_central"
"41";"#168542";"David Silva";34;173;67;86;22500000;58000;64;74;88;88;52;55;84;72;53;92;82;86;82;77;84;91;68;61;85;87;87;72;64;70;46;73;56;50;86;91;75;92;53;29;0;"Milieu_central"
"42";"#178603";"M. Hummels";31;191;94;86;33000000;93000;58;58;77;72;89;77;65;55;87;82;60;69;66;53;86;81;46;67;63;87;60;71;68;65;86;51;71;91;56;80;68;89;88;86;1;"arriere_central"
"43";"#183711";"J. Henderson";30;182;80;86;36500000;140000;65;74;84;79;81;82;82;73;65;86;71;78;80;74;87;84;66;65;69;86;68;77;78;91;78;75;84;85;78;83;64;82;83;77;1;"Milieu__droit"
"44";"#189332";"Jordi Alba";31;170;68;86;32000000;220000;88;69;81;83;78;72;85;73;70;84;60;81;80;63;79;84;88;88;90;82;85;64;80;88;61;66;76;81;83;78;59;80;80;82;0;"arriere_gauche"
"45";"#189596";"T. Müller";30;186;75;86;42000000;130000;68;82;82;78;56;71;85;85;81;84;84;75;81;59;78;82;68;68;73;94;71;78;77;86;66;81;62;58;94;85;60;84;57;46;1;"Milieu_central"
"46";"#204963";"Carvajal";28;173;73;86;38000000;230000;80;54;78;80;82;80;84;51;72;83;49;78;76;47;74;84;79;80;79;84;81;68;77;89;74;47;84;83;75;74;45;82;83;85;1;"arriere_droit"
"47";"#208830";"J. Vardy";33;179;74;86;28000000;160000;88;85;66;78;55;75;68;92;79;69;82;77;67;57;48;81;90;87;72;90;75;87;79;79;68;65;87;49;92;73;84;87;50;53;1;"Attaquant"
"48";"#235790";"K. Havertz";21;188;83;85;57000000;105000;84;81;79;85;45;67;73;85;78;84;80;86;84;53;78;87;78;88;78;85;74;74;75;82;69;78;42;38;84;82;73;84;46;38;0;"Milieu__droit"
"49";"#231677";"M. Rashford";22;186;70;85;53000000;150000;91;83;78;86;45;78;77;83;68;81;73;87;82;76;69;85;89;93;86;86;75;90;72;87;76;81;73;42;82;82;81;82;40;33;1;"Milieu__gauche"
"50";"#222492";"L. Sané";24;183;75;85;51500000;100000;93;81;79;86;38;67;83;81;72;81;85;88;83;82;64;85;91;95;84;79;78;87;64;70;69;78;61;34;84;82;71;80;32;35;0;"Milieu__gauche"
"51";"#228702";"F. de Jong";23;180;74;85;50500000;190000;80;64;84;87;76;77;75;63;66;90;69;87;84;64;86;88;80;80;83;88;79;68;76;90;74;61;70;82;73;86;45;90;76;77;1;"Milieu__gauche"
